id,species,sepal length (cm),petal length (cm),sepal width (cm),petal width (cm)
0,setosa,4.4,1.4,2.9,0.2
1,versicolor,6.4,4.5,3.2,1.5
2,virginica,6.2,4.8,2.8,1.8
3,virginica,7.2,6.1,3.6,2.5
4,setosa,4.9,1.4,3.0,0.2
5,virginica,6.5,5.8,3.0,2.2
6,setosa,4.3,1.1,3.0,0.1
7,versicolor,6.7,5.0,3.0,1.7
8,versicolor,6.8,4.8,2.8,1.4
9,versicolor,6.6,4.4,3.0,1.4
10,versicolor,5.0,3.5,2.0,1.0
11,virginica,6.3,4.9,2.7,1.8
12,versicolor,6.3,4.7,3.3,1.6
13,setosa,4.6,1.5,3.1,0.2
14,setosa,5.8,1.2,4.0,0.2
15,virginica,7.6,6.6,3.0,2.1
16,virginica,7.7,6.9,2.6,2.3
17,virginica,7.1,5.9,3.0,2.1
18,setosa,5.1,1.4,3.5,0.2
19,versicolor,6.7,4.4,3.1,1.4
20,versicolor,5.5,4.0,2.3,1.3
21,setosa,5.4,1.7,3.9,0.4
22,versicolor,5.2,3.9,2.7,1.4
23,virginica,6.0,5.0,2.2,1.5
24,virginica,6.8,5.5,3.0,2.1
25,virginica,7.3,6.3,2.9,1.8
26,virginica,6.9,5.7,3.2,2.3
27,virginica,4.9,4.5,2.5,1.7
28,virginica,6.4,5.6,2.8,2.1
29,virginica,7.7,6.7,3.8,2.2
30,versicolor,6.4,4.3,2.9,1.3
31,setosa,5.0,1.5,3.4,0.2
32,virginica,6.3,6.0,3.3,2.5
33,virginica,6.7,5.8,2.5,1.8
34,virginica,6.5,5.1,3.2,2.0
35,virginica,7.7,6.7,2.8,2.0
36,virginica,7.2,6.0,3.2,1.8
37,setosa,4.9,1.5,3.1,0.1
38,versicolor,5.6,3.9,2.5,1.1
39,versicolor,5.8,4.1,2.7,1.0
40,versicolor,5.9,4.2,3.0,1.5
41,virginica,6.4,5.3,2.7,1.9
42,versicolor,6.0,4.5,2.9,1.5
43,setosa,4.7,1.3,3.2,0.2
44,virginica,6.3,5.6,2.9,1.8
45,versicolor,6.3,4.9,2.5,1.5
46,versicolor,6.1,4.0,2.8,1.3
47,versicolor,6.1,4.7,2.8,1.2
48,versicolor,5.7,4.5,2.8,1.3
49,versicolor,6.6,4.6,2.9,1.3
50,setosa,4.6,1.4,3.4,0.3
51,versicolor,6.1,4.7,2.9,1.4
52,setosa,5.0,1.4,3.6,0.2
53,versicolor,6.0,4.0,2.2,1.0
54,setosa,5.4,1.5,3.7,0.2
55,versicolor,5.9,4.8,3.2,1.8
56,virginica,6.7,5.7,3.3,2.1
57,setosa,4.8,1.4,3.0,0.1
58,virginica,6.5,5.5,3.0,1.8
59,virginica,6.4,5.3,3.2,2.3
60,virginica,5.6,4.9,2.8,2.0
61,virginica,5.8,5.1,2.8,2.4
62,virginica,7.2,5.8,3.0,1.6
63,virginica,5.8,5.1,2.7,1.9
64,setosa,4.8,1.6,3.4,0.2
65,virginica,6.1,4.9,3.0,1.8
66,versicolor,7.0,4.7,3.2,1.4
67,versicolor,5.6,4.5,3.0,1.5
68,versicolor,5.7,3.5,2.6,1.0
69,virginica,5.7,5.0,2.5,2.0
70,versicolor,6.5,4.6,2.8,1.5
71,versicolor,5.6,3.6,2.9,1.3
72,versicolor,6.2,4.5,2.2,1.5
73,versicolor,4.9,3.3,2.4,1.0
74,versicolor,6.9,4.9,3.1,1.5
